,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,norman wells,65.28,-126.83,66.2,45,75,6.93
166,brainerd,46.36,-94.2,63.0,40,1,5.82
167,yumen,40.29,97.04,59.1,10,2,1.5
168,straumen,63.87,11.3,68.0,52,0,9.17
169,camacha,33.08,-16.33,68.0,72,40,14.99
170,teya,21.05,-89.07,99.0,39,75,16.11
171,vitim,59.44,112.57,37.32,83,81,2.98
172,antsohihy,-14.88,47.99,80.7,74,100,5.35
173,kavieng,-2.57,150.8,82.86,75,100,3.76
174,la esperanza,14.31,-88.18,87.8,62,75,4.7
175,clyde river,70.47,-68.59,28.4,86,75,12.75
176,nador,35.17,-2.93,75.2,40,0,6.93
177,keflavik,64.0,-22.56,51.01,100,75,9.17
178,faya,18.39,42.45,59.0,76,20,5.82
179,chokurdakh,70.62,147.9,7.08,89,0,5.99
180,le marin,14.47,-60.87,87.8,62,75,19.46
181,tasiilaq,65.61,-37.64,35.6,74,75,12.75
182,udachnyy,66.42,112.4,39.2,48,90,11.18
183,monrovia,6.33,-10.8,84.2,79,40,9.17
184,burnie,-41.05,145.91,53.01,87,76,5.99
185,kaitangata,-46.28,169.85,52.0,67,16,10.0
186,yamada,36.58,137.08,63.0,93,75,2.24
187,mackay,53.65,-115.58,59.0,28,20,20.8
188,lagoa,37.14,-8.45,73.4,46,20,18.34
189,bluff,-23.58,149.07,61.08,89,1,11.83
190,saint-georges,46.12,-70.67,71.01,76,94,8.99
191,naryan-mar,67.67,53.09,27.24,90,0,8.19
192,port hedland,-20.31,118.58,62.6,51,0,6.93
193,hithadhoo,-0.6,73.08,84.12,75,100,11.3
194,beringovskiy,63.05,179.32,27.42,90,58,6.2
195,codrington,-28.95,153.24,60.8,93,90,5.82
196,ilulissat,69.22,-51.1,33.8,86,90,4.7
197,coquimbo,-29.95,-71.34,64.4,59,75,5.82
198,grand baie,-20.02,57.58,78.8,74,75,11.41
199,kaabong,3.51,34.14,64.86,92,100,2.91
200,lazaro cardenas,28.39,-105.62,88.0,14,75,21.92
201,luanda,-8.83,13.24,78.8,78,20,6.93
202,rio gallegos,-51.62,-69.22,53.6,40,0,34.45
203,namatanai,-3.66,152.44,77.46,88,100,5.95
204,severo-kurilsk,50.68,156.12,39.66,97,99,15.1
205,hutang,29.22,119.85,59.1,71,4,3.31
206,namioka,40.71,140.59,68.0,52,75,11.41
207,mnogovershinnyy,53.94,139.92,39.12,96,100,8.05
208,san rafael del sur,11.85,-86.44,91.4,49,40,13.87
209,paamiut,61.99,-49.67,35.7,91,7,16.31
210,ribeira grande,38.52,-28.7,66.2,88,40,10.29
211,labuhan,-2.54,115.51,75.48,86,18,2.8
212,mount gambier,-37.83,140.78,53.6,100,90,8.05
213,pesca,5.56,-73.05,62.52,68,96,7.76
214,mount isa,-20.73,139.49,68.0,56,0,6.93
215,le port,42.87,1.37,60.01,64,25,4.47
216,hobart,-42.88,147.33,57.99,66,40,5.82
217,dublin,53.35,-6.26,57.99,81,75,5.82
218,salalah,17.01,54.1,86.0,74,20,10.29
219,beisfjord,68.38,17.6,60.8,51,0,11.41
220,ust-tsilma,65.44,52.15,35.88,58,0,6.11
221,marawi,8.0,124.29,77.0,93,12,5.01
222,samana,0.12,-76.97,77.0,94,75,4.7
223,koronowo,53.31,17.94,71.01,60,20,3.36
224,ekimchan,53.07,132.94,43.26,87,100,10.4
225,carnarvon,-30.97,22.13,50.1,65,58,14.94
226,saint-denis,48.94,2.36,64.4,67,0,10.29
227,tabas,33.6,56.92,89.6,18,100,9.17
228,san pedro,-33.68,-59.66,63.0,69,100,7.0
229,aketi,2.74,23.78,72.6,96,100,1.03
230,moses lake,47.13,-119.28,69.8,22,1,13.87
231,mocuba,-16.84,36.99,65.76,90,1,2.42
232,hamilton,43.26,-79.87,59.0,67,90,14.99
233,san juan del sur,11.25,-85.87,84.2,74,40,10.2
234,katobu,-4.94,122.53,75.66,93,17,1.54
235,banjar,-7.37,108.54,73.86,98,86,1.14
236,provideniya,64.42,-173.23,33.72,72,5,5.23
237,andradas,-22.07,-46.57,79.0,56,20,6.93
238,bose,45.46,8.01,64.4,72,75,2.24
239,manzhouli,49.6,117.43,45.24,45,35,13.67
240,lockhart,-35.22,146.72,55.4,76,75,3.36
241,anadyr,64.73,177.51,30.2,74,75,6.71
242,bandarbeyla,9.49,50.81,82.68,74,67,13.38
243,buchach,49.06,25.39,70.0,100,75,2.24
244,pasni,25.26,63.48,86.82,52,0,9.17
245,tuktoyaktuk,69.44,-133.03,41.0,75,40,19.46
246,okha,53.59,142.95,40.38,96,100,13.62
247,puerto escondido,15.86,-97.07,86.0,66,5,9.17
248,ancud,-41.87,-73.83,48.2,70,0,9.17
249,lebu,8.96,38.73,64.4,68,75,2.95
250,port lincoln,-34.72,135.86,63.6,76,100,15.48
251,leningradskiy,69.38,178.42,22.2,80,0,6.38
252,kajaani,64.22,27.73,59.0,62,0,6.93
253,murray bridge,-35.12,139.28,55.99,89,100,1.01
254,rocha,-34.48,-54.34,61.08,96,97,11.3
255,tagusao,9.19,117.81,84.12,71,92,2.57
256,cobija,-11.02,-68.77,89.6,55,75,3.36
257,port-gentil,-0.72,8.78,80.6,88,20,11.41
258,te anau,-45.41,167.72,39.3,93,61,4.12
259,hami,42.84,93.51,69.72,11,0,6.2
260,pahrump,36.21,-115.98,68.0,41,75,11.5
261,fort frances,48.61,-93.4,63.0,38,1,9.17
262,umtata,-31.59,28.78,60.8,51,0,17.22
263,markova,52.21,104.21,46.4,49,0,6.71
264,saint-leu,-21.15,55.28,78.01,88,68,3.36
265,jalu,29.03,21.55,100.14,5,73,11.07
266,alice springs,-23.7,133.88,57.2,93,1,3.36
267,zaraza,9.35,-65.33,101.04,22,97,8.61
268,dingle,11.0,122.67,79.08,80,4,2.73
269,bodden town,19.28,-81.25,84.99,88,75,4.7
270,griffith,-34.29,146.06,55.4,82,13,5.82
271,coihaique,-45.58,-72.07,46.4,59,0,4.7
272,sao felix do xingu,-6.64,-51.99,80.34,92,100,3.74
273,santa rosa,-36.62,-64.29,49.38,78,100,13.94
274,goderich,43.74,-81.71,52.0,87,96,13.0
275,vila velha,-3.71,-38.6,80.6,83,75,9.17
276,rabo de peixe,37.8,-25.58,66.2,88,40,12.75
277,soyo,-6.13,12.37,80.6,88,20,9.17
278,cayenne,4.94,-52.33,86.0,70,40,14.99
279,saldanha,41.42,-6.55,63.06,46,86,9.75
280,santa ines,-0.82,-78.63,64.4,72,75,2.93
281,hasaki,35.73,140.83,66.2,93,75,16.11
282,slave lake,55.28,-114.77,62.6,25,1,17.22
283,christchurch,-43.53,172.64,51.01,100,1,3.36
284,kibakwe,-6.71,36.37,69.54,74,46,5.44
286,san andres,13.32,122.68,81.78,82,58,2.89
287,pangnirtung,66.15,-65.72,35.6,80,75,18.34
288,san quintin,17.54,120.52,78.72,76,95,3.62
289,union,47.36,-123.1,57.2,100,90,8.05
290,dudinka,69.41,86.18,15.8,92,75,29.08
291,florida,21.53,-78.23,87.8,52,40,5.82
292,madikeri,12.42,75.74,84.2,89,75,2.24
293,esperance,10.24,-61.45,91.4,46,40,18.34
294,takoradi,4.89,-1.75,78.9,85,100,3.56
295,lokomotivnyy,53.01,60.57,41.1,61,38,9.42
296,khash,28.22,61.21,68.28,43,32,12.5
297,mogok,22.92,96.51,72.24,51,0,2.77
298,mikkeli,61.69,27.27,62.6,59,0,6.93
299,jiuquan,39.73,98.49,59.64,14,0,5.5
300,betafo,-19.84,46.86,58.2,92,9,3.47
301,aitape,-3.15,142.36,77.64,87,100,3.96
302,alofi,-19.06,-169.92,75.2,94,75,6.93
303,yulara,-25.24,130.99,62.6,77,20,8.16
304,kvarkeno,52.08,59.73,44.88,56,77,8.21
305,salinopolis,-0.61,-47.36,82.14,82,90,12.57
306,chunhuhub,19.59,-88.59,96.72,35,5,7.02
307,dunedin,-45.87,170.5,46.99,81,1,4.0
308,nioro,13.79,-15.05,101.4,15,76,6.02
309,upernavik,72.79,-56.15,29.22,85,0,11.59
310,airai,-8.93,125.41,75.12,73,35,7.2
311,balkanabat,39.51,54.36,79.8,41,99,6.69
312,syumsi,57.11,51.61,43.08,66,90,6.91
313,loukhi,66.08,33.04,38.04,75,100,9.91
314,baruun-urt,46.68,113.28,44.88,48,0,5.32
315,miraflores,5.2,-73.14,68.64,60,99,5.44
316,gunjur,13.18,-16.76,80.6,61,0,9.17
317,wajima,37.4,136.9,63.78,94,100,13.53
318,buala,-8.15,159.59,81.96,79,87,10.78
319,acari,-6.44,-36.64,89.34,48,100,11.99
320,banfora,10.64,-4.75,91.14,56,77,4.7
321,mandera,3.94,41.86,87.18,47,69,8.03
322,tshikapa,-6.42,20.79,79.62,58,99,2.15
323,juneau,58.3,-134.42,57.2,71,75,11.41
324,sidney,47.72,-104.16,61.0,26,1,14.99
325,edd,13.93,41.69,93.3,49,50,9.69
326,cockburn town,21.46,-71.14,80.52,79,1,12.5
327,kizukuri,40.81,140.39,68.0,59,100,1.01
328,vung tau,10.35,107.08,85.2,77,77,10.58
329,mahon,51.89,-8.4,57.0,71,75,9.17
330,biltine,14.53,20.93,101.76,13,93,6.87
331,ishigaki,24.34,124.16,76.2,73,69,24.34
332,morant bay,17.88,-76.41,86.0,62,20,23.04
333,raduzhnyy,62.1,77.47,39.3,93,100,9.86
334,san patricio,-26.98,-56.83,76.74,82,94,7.49
335,hulan ergi,47.2,123.63,48.48,85,100,15.26
336,thayetmyo,19.32,95.18,88.26,61,81,7.07
337,acapulco,16.86,-99.88,84.2,70,5,11.41
338,port shepstone,-30.74,30.45,69.54,47,2,5.32
339,tautira,-17.73,-149.15,84.2,70,20,10.29
340,la libertad,-16.38,-71.56,64.4,36,0,8.05
341,raymond,43.04,-71.18,84.99,48,40,12.75
342,road town,18.42,-64.62,86.0,66,40,9.17
343,yar-sale,66.83,70.83,24.9,90,100,17.43
344,iwanai,42.97,140.51,56.04,87,100,11.32
345,eseka,3.65,10.77,76.92,91,100,3.13
346,chiredzi,-21.05,31.67,65.76,42,0,0.78
347,tigil,57.8,158.67,36.6,92,33,4.59
348,avera,33.19,-82.53,91.4,40,40,9.17
349,muzhi,65.4,64.7,30.3,85,100,11.63
350,komsomolskiy,67.55,63.78,18.78,93,55,13.2
351,chapais,49.78,-74.86,44.6,93,90,6.93
352,biak,-0.91,122.88,65.4,98,81,3.27
353,darhan,49.49,105.92,51.72,36,32,1.7
354,daru,7.99,-10.85,79.62,89,78,3.6
355,onokhoy,51.92,108.05,37.4,51,33,2.24
356,leh,34.16,77.58,25.8,51,33,3.58
357,banda aceh,5.56,95.32,84.12,76,100,11.95
358,alyangula,-13.85,136.42,71.6,100,100,3.36
359,sorland,67.67,12.69,53.6,71,0,5.82
360,fort nelson,58.81,-122.69,68.0,42,20,5.82
361,boyolangu,-8.09,111.9,74.76,89,80,4.65
362,datong,40.09,113.3,55.32,23,0,9.44
363,vila franca do campo,37.72,-25.43,66.2,88,40,12.75
364,akureyri,65.68,-18.09,48.2,66,90,6.93
365,ulladulla,-35.36,150.48,60.01,62,0,11.41
366,ust-barguzin,53.41,109.03,36.06,60,27,2.42
367,pampierstad,-27.78,24.69,67.02,23,0,10.38
368,zyryanovsk,49.74,84.27,48.84,88,100,1.81
369,cooma,-36.24,149.13,53.6,71,11,10.29
370,sfantu gheorghe,44.65,26.83,66.2,93,40,10.29
371,carballo,43.21,-8.69,63.0,44,0,5.82
372,shimoda,34.7,138.93,68.0,100,75,11.41
373,novonukutskiy,53.7,102.71,56.04,40,96,4.81
374,reguengos de monsaraz,38.42,-7.53,71.6,49,20,14.99
375,ocean city,30.44,-86.61,93.0,66,40,13.87
376,qinhuangdao,39.94,119.59,57.48,40,0,8.41
377,muskegon,43.23,-86.25,50.0,70,90,12.75
378,kargasok,59.06,80.87,43.08,79,82,8.63
379,auki,12.18,6.51,98.88,26,83,6.08
380,kayseri,38.73,35.48,66.2,48,40,3.36
381,quanzhou,24.9,118.59,69.8,88,35,6.71
382,nago,45.88,10.89,60.01,93,40,3.36
383,medicine hat,50.04,-110.68,55.4,32,75,14.99
384,cherskiy,68.75,161.3,24.0,96,100,7.16
385,santa maria,-29.69,-53.81,71.16,85,99,5.95
386,north bend,43.41,-124.22,63.0,58,40,12.75
387,el alto,-16.5,-68.19,57.2,19,75,14.99
388,geraldton,49.72,-86.95,55.4,43,75,11.41
389,souillac,45.6,-0.6,62.6,59,1,11.41
390,la ronge,55.1,-105.3,62.6,33,40,10.29
391,namibe,-15.19,12.15,71.7,74,0,17.4
392,westport,53.8,-9.52,55.99,66,20,9.17
393,juiz de fora,-21.76,-43.35,75.2,44,20,8.05
394,lagos,6.46,3.39,82.4,83,20,3.36
395,half moon bay,37.46,-122.43,62.01,67,90,9.17
396,nelson bay,-32.72,152.14,59.0,93,2,3.36
397,tuatapere,-46.13,167.69,48.0,88,71,1.99
398,grindavik,63.84,-22.43,51.01,100,75,9.17
399,xining,36.62,101.77,44.7,47,76,1.21
400,kieta,-6.22,155.63,82.5,72,97,4.09
401,kalabo,-15.0,22.67,69.9,42,47,4.72
402,sambava,-14.27,50.17,70.98,99,7,1.5
403,wawa,9.9,4.41,94.92,38,90,4.88
404,manama,25.33,56.02,91.4,52,0,14.99
405,labuan,5.28,115.24,80.6,88,75,5.21
406,wexford,40.63,-80.06,75.99,53,75,19.46
407,kyren,51.68,102.13,38.04,57,100,5.79
408,boquira,-12.82,-42.73,88.62,40,20,5.1
409,bathsheba,13.22,-59.52,86.0,58,20,18.34
410,ogbomosho,8.13,4.25,84.66,61,97,8.72
411,longyearbyen,78.22,15.63,28.4,74,75,5.82
412,diu,20.71,70.98,83.04,75,0,12.82
413,shebalino,51.29,85.68,53.52,68,100,7.29
414,kalat,29.03,66.58,66.84,44,47,4.0
415,hare bay,48.86,-53.99,46.0,64,75,17.22
416,kirkuk,35.47,44.4,86.82,16,0,7.36
417,tabou,4.42,-7.36,80.88,82,84,4.9
418,ahipara,-35.17,173.16,55.0,100,99,9.51
419,byron bay,-28.65,153.62,63.0,93,40,4.7
420,isangel,-19.55,169.27,74.76,76,13,20.18
421,saint-joseph,43.56,6.97,64.0,93,75,3.36
422,susuman,62.78,148.15,22.38,75,0,3.15
423,plattling,48.78,12.88,55.99,86,100,3.71
424,arenapolis,-14.45,-56.85,89.52,34,27,3.94
425,tocopilla,-22.09,-70.2,61.8,94,79,17.07
426,arroyo,41.39,-78.88,75.0,49,75,21.92
427,hastings,-39.64,176.84,42.18,93,0,2.64
428,okhotsk,59.36,143.24,41.46,77,87,6.53
429,maniitsoq,65.42,-52.9,40.02,76,1,8.08
430,meulaboh,4.14,96.13,81.6,81,100,5.88
431,cartagena del chaira,1.33,-74.84,79.62,89,98,3.22
432,macau,-5.11,-36.64,86.1,65,70,13.85
433,svodin,47.91,18.5,63.0,72,0,6.93
434,victoria,5.28,115.24,80.6,88,75,5.21
435,dong xoai,11.53,106.92,83.76,71,100,5.44
436,zaysan,47.47,84.87,59.46,47,43,10.83
437,sioux lookout,50.1,-91.92,59.0,44,40,6.93
438,waipawa,-39.94,176.59,33.01,93,0,2.64
439,vila do maio,15.13,-23.22,80.6,54,20,13.87
440,brae,60.4,-1.35,51.8,87,99,4.7
441,russkiy aktash,55.04,52.12,41.0,80,20,11.18
442,kokstad,-30.55,29.42,57.12,33,51,3.65
443,lucapa,-8.42,20.74,78.36,48,65,2.73
444,birjand,32.86,59.22,71.6,26,0,9.17
445,ingham,-18.65,146.16,64.32,97,24,3.29
447,tilichiki,60.47,166.1,33.9,87,99,4.41
448,doha,25.29,51.53,84.2,78,15,2.24
449,makakilo city,21.35,-158.09,82.99,69,75,11.41
450,lorengau,-2.02,147.27,77.46,89,100,1.12
451,anan,33.91,134.64,66.2,93,90,5.82
452,synya,65.37,58.04,32.28,68,29,8.55
453,thanatpin,17.29,96.58,82.4,83,75,4.7
454,altagracia de orituco,9.86,-66.38,89.52,33,96,5.26
455,anqing,30.51,117.04,64.68,34,55,4.05
456,nome,30.04,-94.42,87.8,62,40,12.75
457,lahaina,20.87,-156.68,82.4,61,20,11.41
458,hereford,52.06,-2.72,64.0,59,40,3.36
459,san ramon de la nueva oran,-23.13,-64.33,63.42,97,100,2.13
460,manuk mangkaw,4.8,119.85,86.1,68,99,5.57
461,prainha,-1.8,-53.48,86.1,69,100,4.14
462,pacific grove,36.62,-121.92,64.0,77,90,4.7
463,tam ky,15.57,108.48,82.4,78,20,4.7
464,atasu,48.68,71.64,55.32,52,100,12.21
465,seshcha,53.73,33.34,61.62,72,1,6.11
466,norilsk,69.35,88.2,15.8,92,75,29.08
467,los teques,10.35,-67.04,87.01,66,40,3.36
468,san cristobal,-0.39,-78.55,71.6,37,75,4.7
469,san ramon,12.92,-85.84,77.0,65,75,5.55
470,horta,41.43,2.16,64.99,72,40,6.93
471,poum,41.28,20.71,53.6,71,75,5.82
472,sawtell,-30.38,153.1,57.2,93,90,3.36
473,seoul,37.57,126.98,55.4,93,1,4.7
474,plettenberg bay,-34.05,23.37,55.32,74,98,7.18
475,oranjestad,12.52,-70.03,87.8,62,20,25.28
476,belmonte,40.36,-7.35,63.0,58,60,7.0
477,bundaberg,-24.87,152.35,61.0,93,0,6.93
478,samarinda,-0.5,117.14,75.3,98,52,2.08
479,zhezkazgan,47.8,67.71,56.04,45,87,13.85
480,abonnema,4.71,6.79,80.6,83,75,11.41
481,narok,-1.09,35.87,56.76,91,35,6.64
482,muravlenko,63.79,74.5,34.98,89,28,7.83
483,necochea,-38.55,-58.74,59.0,47,100,5.99
484,talcahuano,-36.72,-73.12,55.4,66,40,6.93
485,san-pedro,4.75,-6.64,78.9,89,92,3.56
486,bismarck,46.81,-100.78,60.8,50,1,16.11
487,pinotepa de don luis,16.43,-97.98,95.1,37,21,7.47
488,mizan teferi,6.99,35.58,63.42,80,59,3.06
489,bonfim,-20.33,-44.24,82.4,39,20,8.05
490,oga,8.18,5.65,80.88,72,94,8.28
491,bouca,6.51,18.28,83.94,51,68,4.12
492,bolobo,-2.17,16.23,83.94,57,95,2.33
493,nuuk,64.17,-51.74,42.8,70,20,8.05
494,baylo,7.85,126.06,77.0,69,1,1.07
495,fuxin,42.02,121.65,56.94,40,4,11.95
496,chernaya kholunitsa,58.85,51.72,42.9,52,90,5.82
497,havelock,34.88,-76.9,88.0,51,1,12.75
498,traverse city,44.76,-85.62,54.0,62,75,14.99
499,champoton,19.35,-90.72,95.0,39,20,11.41
500,mandalgovi,45.76,106.27,48.66,36,0,1.34
501,delemont,47.36,7.34,57.2,93,75,11.41
502,chauk,20.89,94.82,91.5,41,67,5.55
503,kambove,-10.88,26.6,62.52,91,15,3.36
